soc,ocv
0.0,3.2285
0.01,3.3013
0.02,3.3546
0.03,3.3984
0.04,3.4286
0.05,3.4414
0.06,3.4493
0.07,3.4557
0.08,3.4617
0.09,3.4675
0.1,3.4736
0.11,3.4803
0.12,3.4878
0.13,3.4975
0.14,3.509
0.15,3.5197
0.16,3.53
0.17,3.5407
0.18,3.5497
0.19,3.5575
0.2,3.5656
0.21,3.5737
0.22,3.5801
0.23,3.5855
0.24,3.5908
0.25,3.5955
0.26,3.5999
0.27,3.6039
0.28,3.6076
0.29,3.6109
0.3,3.6143
0.31,3.6175
0.32,3.6206
0.33,3.6236
0.34,3.6265
0.35,3.6293
0.36,3.6323
0.37,3.6353
0.38,3.6382
0.39,3.6411
0.4,3.6442
0.41,3.6472
0.42,3.6504
0.43,3.6536
0.44,3.657
0.45,3.6604
0.46,3.664
0.47,3.6677
0.48,3.6715
0.49,3.6757
0.5,3.6797
0.51,3.6843
0.52,3.6894
0.53,3.6948
0.54,3.7013
0.55,3.7089
0.56,3.7182
0.57,3.7284
0.58,3.738
0.59,3.7466
0.6,3.7543
0.61,3.7615
0.62,3.7684
0.63,3.7753
0.64,3.7821
0.65,3.7892
0.66,3.7963
0.67,3.8036
0.68,3.811
0.69,3.8186
0.7,3.8263
0.71,3.8343
0.72,3.8424
0.73,3.8508
0.74,3.859
0.75,3.8675
0.76,3.8761
0.77,3.885
0.78,3.8939
0.79,3.9029
0.8,3.912
0.81,3.9214
0.82,3.9308
0.83,3.9405
0.84,3.9504
0.85,3.9604
0.86,3.9707
0.87,3.981
0.88,3.9916
0.89,4.0024
0.9,4.0133
0.91,4.0242
0.92,4.0356
0.93,4.0471
0.94,4.0588
0.95,4.0705
0.96,4.0824
0.97,4.0945
0.98,4.107
0.99,4.1228
1.0,4.1444
