Date,Import Balance,Conventional > 100 MW,Wind,Solar,Load,Intraday Auction 15 minute call,Intraday Continuous 15 minutes Index Price,Intraday Continuous 15 minutes Average Price,Intraday Continuous 15 minutes Low Price,Intraday Continuous 15 minutes High Price,Intraday Continuous 15 minutes ID3-Price,Intraday Continuous 15 minutes ID1-Price,
01/01/2019 00:00,-11.181,23.371,22.672,0,,51.06,36.88,36.88,15,60.29,40.06,40.47,
01/01/2019 00:15,-10.893,22.17,23.43,0,,38.08,42.45,42.45,6.7,63.79,40.88,42.92,
01/01/2019 00:30,-10.997,21.283,24.164,0,,11.7,31.61,31.61,-1.6,56.59,29.64,37.85,
01/01/2019 00:45,-10.656,20.57,24.301,0,,-5.11,16.64,16.64,-178,52,23.46,31.59,
01/01/2019 01:00,-10.991,20.088,24.583,0,41.862,39.48,31.1,31.1,5.3,60.89,32.8,37.38,
01/01/2019 01:15,-11.034,19.343,25.317,0,41.697,14.66,-0.93,-0.93,-50,34.98,-0.87,-12.01,
01/01/2019 01:30,-11.016,18.891,25.896,0,41.207,0.17,-0.21,-0.21,-47.99,26.89,-1.34,-9.98,
01/01/2019 01:45,-11.045,18.552,26.018,0,40.834,-4.35,0.5,0.5,-45.69,37.5,-0.61,-3.68,
01/01/2019 02:00,-11.805,18.642,25.804,0,40.929,26.92,14.44,14.44,-5.2,32.7,16.55,16.52,
01/01/2019 02:15,-11.835,18.182,25.809,0,40.133,10.32,7.36,7.36,-37.8,19.7,7.01,7.63,
01/01/2019 02:30,-11.821,17.774,25.514,0,39.501,-0.3,6.8,6.8,-87.9,59.69,2.77,2.04,
01/01/2019 02:45,-11.831,17.512,25.926,0,38.994,-13.06,0.56,0.56,-66.9,40.24,-1.67,-0.58,
01/01/2019 03:00,-11.976,17.515,26.83,0,38.911,15.3,16.15,16.15,5.72,32.99,17.01,16.7,
01/01/2019 03:15,-11.973,17.256,26.876,0,38.815,0.38,-0.65,-0.64,-17.9,10.8,1.63,-0.21,
01/01/2019 03:30,-11.971,16.996,27.309,0,38.496,-7.87,-9.37,-9.37,-100.01,6.05,-7.37,-8.49,
01/01/2019 03:45,-11.937,16.879,27.601,0,38.379,-19.13,-10.03,-10.03,-61.3,6.96,-12,-13.94,
01/01/2019 04:00,-12.254,16.904,28.546,0,38.353,5.98,14,14,6,29.79,15.93,21.3,
01/01/2019 04:15,-12.628,17.03,29.048,0,39.032,2.03,0.63,0.63,-16.06,20,0.95,-4.29,
01/01/2019 04:30,-12.755,16.973,29.398,0,38.995,-6.92,-8.96,-8.96,-98.51,25,-11.06,-18.42,
01/01/2019 04:45,-12.845,16.862,29.52,0,38.794,-11.31,-11.63,-11.63,-47.2,139.99,-12.03,-12.07,
01/01/2019 05:00,-13.327,16.818,30.182,0,38.838,8.01,15.36,15.36,4.3,60.6,15.74,18.95,
01/01/2019 05:15,-13.381,16.77,30.311,0,38.83,-2.63,1.88,1.88,-80.01,26.99,2.97,5.51,
01/01/2019 05:30,-13.449,16.655,30.68,0,38.506,-11.5,-5.76,-5.76,-33.3,37.4,-3.68,-4.16,
01/01/2019 05:45,-13.423,16.57,30.687,0,38.148,-24.44,-7.49,-7.49,-39.99,19.3,-10.86,-11.63,
01/01/2019 06:00,-13.662,16.516,31.305,0,37.274,-6.77,3.65,3.65,-100,40.6,8.24,11.51,
01/01/2019 06:15,-13.713,16.533,31.534,0,37.756,-17.49,-0.36,-0.36,-17.5,25.36,-0.59,1.36,
01/01/2019 06:30,-13.735,16.607,31.89,0,37.832,-14.87,-3.46,-3.46,-60.8,6.6,-5.97,-6.72,
01/01/2019 06:45,-13.66,16.62,32.071,0,38.2,-17.32,-2.24,-2.24,-21.6,11,-4.19,-3.73,
01/01/2019 07:00,-13.731,16.65,32.167,0,38.167,-20.51,-11.33,-11.33,-100,9.07,-7.48,-11.52,
01/01/2019 07:15,-13.966,16.69,32.581,0,38.289,-18.53,0.02,0.02,-22.7,9.83,-4.1,-2.22,
01/01/2019 07:30,-14.182,16.683,32.924,0,38.287,0.67,2.11,2.11,-15.05,11.4,-0.36,-0.73,
01/01/2019 07:45,-14.27,16.813,32.946,0,38.711,3.58,4.91,4.91,-4,15,5.75,3.33,
01/01/2019 08:00,-14.427,16.644,33.31,0.008,38.574,-22.9,-14.57,-14.57,-102,28.99,-6.48,-6.87,
01/01/2019 08:15,-14.411,16.615,33.322,0.04,38.635,-9.96,-3.5,-3.5,-98,9,-4.6,-5.27,
01/01/2019 08:30,-14.5,16.601,33.394,0.11,38.905,3.14,-3.34,-3.34,-138.96,12.2,-6.02,-15.47,
01/01/2019 08:45,-14.559,16.641,33.444,0.216,39.112,17.19,5.77,5.77,-13.99,51.8,6.02,4.51,
01/01/2019 09:00,-13.715,16.698,33.217,0.348,40.172,-29.53,-1.11,-1.11,-49.99,30,-8.48,-6.94,
01/01/2019 09:15,-13.529,17.143,33.096,0.516,41.274,-10.99,-9.57,-9.57,-50,38.89,-0.47,-1.31,
01/01/2019 09:30,-13.777,17.337,32.629,0.749,41.723,1.75,-1.57,-1.57,-14.19,24.85,5.53,4.5,
01/01/2019 09:45,-13.906,17.096,33.004,0.975,41.962,6.56,0.62,0.62,-13.1,21.98,2.64,1.49,
01/01/2019 10:00,-13.978,16.873,33.614,1.216,42.869,-18.09,-3.86,-3.86,-15,6.3,-3.11,-4.2,
01/01/2019 10:15,-14,16.763,33.971,1.422,43.609,-8.72,4.27,4.27,-8.6,200,-0.56,-0.17,
01/01/2019 10:30,-14.172,16.668,34.373,1.619,44.129,1.77,1.43,1.43,-8.03,10,-0.14,-0.7,
01/01/2019 10:45,-14.324,16.706,34.86,1.822,44.654,9.23,3.3,3.3,-10,21.19,2.79,0.63,
01/01/2019 11:00,-14.213,16.681,35.972,1.984,45.852,-5.97,-0.51,-0.51,-8.1,9.4,-1.01,2.75,
01/01/2019 11:15,-14.013,16.905,36.42,2.248,46.948,3.14,10.07,10.07,-4,72.9,6.63,12.94,
01/01/2019 11:30,-14.032,17.044,36.768,2.431,47.991,6.75,5.95,5.95,-8.1,66.3,9.3,15.16,
01/01/2019 11:45,-14.149,17.195,36.839,2.455,48.645,4.38,1.95,1.95,-13.99,26,4.3,6.11,
01/01/2019 12:00,-13.727,17.204,36.722,2.498,49.173,5.31,5.63,5.63,-10.7,20.3,3.32,1.56,
01/01/2019 12:15,-13.769,17.34,36.511,2.501,48.928,-2.98,4.21,4.21,-5.76,18.5,3.36,3.57,
01/01/2019 12:30,-13.737,17.195,36.716,2.488,48.915,-4.98,1.64,1.64,-6.91,15,0.62,3.68,
01/01/2019 12:45,-13.584,17.092,36.815,2.424,48.852,-11.91,-1.3,-1.29,-49.4,25,-4.86,-7.25,
01/01/2019 13:00,-14.233,17.612,37.032,2.33,48.754,8.05,14.94,14.94,-1.84,38.9,11.1,11.67,
01/01/2019 13:15,-14.245,17.43,37.176,2.328,48.253,-0.71,8.85,8.85,-10,39.46,9.56,10.18,
01/01/2019 13:30,-14.178,17.32,37.268,2.224,48.055,-5.59,5.81,5.81,-10.4,29.18,5.48,9.15,
01/01/2019 13:45,-13.981,17.289,37.558,2.028,48.359,-13.65,1.2,1.2,-14.99,22.39,0.03,2.88,
01/01/2019 14:00,-14.706,17.404,37.552,1.793,48.314,-0.06,7.35,7.34,-9.5,24.19,7.63,10.23,
01/01/2019 14:15,-14.956,17.484,37.452,1.57,47.902,-2.01,9,9,-4.5,34.99,7.88,12.44,
01/01/2019 14:30,-14.876,17.705,37.904,1.337,48.168,-3.58,11.28,11.28,-3.6,31.3,10.2,12.61,
01/01/2019 14:45,-14.772,17.667,37.814,1.061,47.97,-5.23,3.16,3.16,-10,20.1,1.7,3.61,
01/01/2019 15:00,-15.37,18.788,37.1,0.813,48.663,0.28,7.55,7.55,-9.4,20,10.57,11.6,
01/01/2019 15:15,-15.498,18.78,37.467,0.587,48.429,-0.42,18.65,18.65,-5.09,48.09,8.32,9.28,
01/01/2019 15:30,-15.555,18.997,37.704,0.381,48.912,-4.34,20.7,20.7,-75.3,40,5.01,8.18,
01/01/2019 15:45,-15.541,18.818,38.374,0.195,49.101,-2.84,20.3,20.3,-5.08,45,12.55,16.95,
