Date,Import Balance,Non-Renewable,Renewable,Load,Intraday Auction 15 minute call,Intraday Continuous 15 minutes Index Price,Intraday Continuous 15 minutes Low Price,Intraday Continuous 15 minutes High Price,Intraday Continuous 15 minutes ID3-Price,Intraday Continuous 15 minutes ID1-Price
01/01/2020 00:00,1.025,,,,56.51,59,39,142.76,56.49,60.63
01/01/2020 00:15,1.025,,,,44.15,57.73,-35,119.99,54.79,62.45
01/01/2020 00:30,1.025,,,,41.9,52.11,-30.82,159.4,43.05,50.89
01/01/2020 00:45,1.025,,,,38.15,43.79,9.48,125.46,53.17,66.37
01/01/2020 01:00,1.39,24.852,13.873,41.737,48.61,47.11,-49.99,79.9,50.64,51.79
01/01/2020 01:15,1.39,24.762,13.761,41.198,42.31,32.65,-36.37,69.99,36.7,33.97
01/01/2020 01:30,1.39,24.636,13.887,41.013,39.88,30.76,-78.89,120,31.96,28.95
01/01/2020 01:45,1.39,24.577,14.025,40.801,33.04,21.65,-22.99,85,21.47,19.5
01/01/2020 02:00,0.579,24.534,14.232,40.648,43.99,32.37,-73.89,138.48,35.01,30.39
01/01/2020 02:15,0.579,24.47,14.257,40.438,40.06,28.46,-55,77.69,26.75,23.96
01/01/2020 02:30,0.579,24.45,14.335,40.313,35.65,32.44,-24.99,48.89,31.98,28.4
01/01/2020 02:45,0.579,24.542,14.343,40.196,30.25,29.51,13.45,129.09,25.71,33.2
01/01/2020 03:00,0.327,24.688,14.336,39.344,40.14,26.38,13.75,84.2,24.17,29.81
01/01/2020 03:15,0.327,24.694,14.303,38.912,36.73,42.09,26.56,111.69,35.92,36.85
01/01/2020 03:30,0.327,24.692,14.363,38.764,33.73,41.04,26.53,85,36.8,39.5
01/01/2020 03:45,0.327,24.687,14.469,38.657,30.76,35.21,-24.99,85.43,34.19,49.23
01/01/2020 04:00,-0.047,24.657,14.537,39.109,36.74,34.07,-26.68,53.54,35.85,32.19
01/01/2020 04:15,-0.047,24.642,14.52,38.817,33.79,28.13,-84.89,85,31,30.11
01/01/2020 04:30,-0.047,24.682,14.602,38.803,36.72,26.81,-50,85,30.89,26.12
