Date,Intraday Auction 15 minute call,Intraday Continuous 15 minutes Index Price,Intraday Continuous 15 minutes Low Price,Intraday Continuous 15 minutes High Price,Intraday Continuous 15 minutes ID3-Price,Intraday Continuous 15 minutes ID1-Price
01/01/2021 00:00,62.47,44.32,-54.98,63.9,41.16,34.13
01/01/2021 00:15,59.58,52.15,11.51,83.6,55.53,53.78
01/01/2021 00:30,53.93,50.16,30.7,99.6,50.48,52.79
01/01/2021 00:45,41.35,41.4,1,96.59,43.38,44.96
01/01/2021 01:00,61.69,64.02,40.19,887.98,57.8,61.82
01/01/2021 01:15,53.35,52.45,41,240,50.46,56.06
01/01/2021 01:30,47.06,45.88,31.27,90.5,43.93,50.16
01/01/2021 01:45,42.72,45.77,35.9,120,45.46,51.79
01/01/2021 02:00,50.79,65.82,41.88,177.5,53.23,64.34
01/01/2021 02:15,45.07,61.29,39.9,191.7,64.3,79.62
01/01/2021 02:30,44.62,55.93,22.55,101.6,59.94,72.33
01/01/2021 02:45,43.78,53.38,34.1,232.19,58.04,73.89
01/01/2021 03:00,44.95,45.27,9.9,58.86,48.27,44.27
01/01/2021 03:15,40.87,40.1,-100,53.6,43.61,39.06
01/01/2021 03:30,42.5,41.85,-17.41,59.81,46.87,40.84
01/01/2021 03:45,43.51,43.49,13.48,53.6,45.95,44.04
01/01/2021 04:00,35.56,32.4,-472.9,47.12,34.67,29.07
01/01/2021 04:15,41.33,40.25,28.95,53.59,40.28,37.38
01/01/2021 04:30,43.54,42.1,0.01,84.9,43.16,42.12
01/01/2021 04:45,41.33,45.35,35,94.9,42.48,42.18
01/01/2021 05:00,43.62,43.56,-100,72.26,46.65,52.16
01/01/2021 05:15,38.56,42.05,-100,97.7,43.12,46.9
01/01/2021 05:30,45.93,44.18,-100,75.64,44.29,45.84
01/01/2021 05:45,35.54,36.99,-100,76.7,37.04,38.63
01/01/2021 06:00,35.19,34.12,-136.9,55.95,37.14,42.07
01/01/2021 06:15,35.07,37.06,-10.9,57.58,39.7,43.42
01/01/2021 06:30,37.04,43.45,14.9,86.5,44.82,42.1
01/01/2021 06:45,44.32,50.36,30.15,108.1,52.11,51.15
01/01/2021 07:00,32.49,30.32,0.9,44.6,29.72,30.29
01/01/2021 07:15,37.16,41.9,-37.83,58.62,41.44,41.79
01/01/2021 07:30,41.35,48.83,40.9,69.94,49.94,49.64
01/01/2021 07:45,46.85,54.5,34.48,83,54.83,51.4
01/01/2021 08:00,31.76,43.78,17.1,64.88,44.44,51.05
01/01/2021 08:15,38.32,41.85,-39.98,58.81,43.79,42.55
01/01/2021 08:30,41.31,44.7,21.04,57.04,45.46,45.32
01/01/2021 08:45,60.52,61.14,45,69.49,63.13,60.63
01/01/2021 09:00,39.58,45.1,20.2,53.9,46.63,48.74
01/01/2021 09:15,41.98,48.8,19.1,84.49,50.69,52.3
01/01/2021 09:30,41.87,49.38,15.14,68.55,53.09,51.77
01/01/2021 09:45,45.93,52.84,40,69.07,54.08,49.97
01/01/2021 10:00,41.34,44.3,33.13,200,42.52,40.81
01/01/2021 10:15,45.65,49.05,40.83,69.3,46.99,45.18
01/01/2021 10:30,41.39,40.89,15.91,51.1,42.16,44.56
01/01/2021 10:45,50.97,49.63,5,64.1,51.71,50.51
01/01/2021 11:00,41.31,44.77,22.14,249,44.05,44.48
01/01/2021 11:15,50.23,51.03,39.26,75.19,50.59,48.01
01/01/2021 11:30,48.57,47.41,32.01,55.1,47.32,44.05
01/01/2021 11:45,42.92,44.61,13.91,67.9,45.31,47.47
01/01/2021 12:00,53.93,58.74,39.5,185.97,58.57,61.24
01/01/2021 12:15,50.58,57.62,45.9,139.86,57.58,60.87
01/01/2021 12:30,53.83,58.18,46.3,120,57.11,57.38
01/01/2021 12:45,44.83,55.01,38.41,149.99,50.71,55.72
01/01/2021 13:00,49.23,56.61,20,85,53.91,55.75
01/01/2021 13:15,45.92,51.2,42.9,62.49,50.46,51.17
01/01/2021 13:30,47.13,49.31,38.76,66.07,50.79,53.91
01/01/2021 13:45,39.87,42.68,33.03,47.98,44.74,45.34
