Date,Import Balance,Non-Renewable,Renewable,Load,Intraday Auction 15 minute call,Intraday Continuous 15 minutes Average Price,Intraday Continuous 15 minutes Low Price,Intraday Continuous 15 minutes High Price,Intraday Continuous 15 minutes ID3-Price,Intraday Continuous 15 minutes ID1-Price
01/01/2022 00:00,-8.341,,,,100.06,85.87,-4.99,122.29,92.54,83.69
01/01/2022 00:15,-8.445,,,,67.64,37.21,-2.89,80.2,37.61,29.9
01/01/2022 00:30,-8.245,,,,51.35,32.62,-1,91.68,24.36,19.09
01/01/2022 00:45,-8.01,,,,41.36,32.27,-3.6,223.62,12.66,23.83
01/01/2022 01:00,-8.035,12.216,37.413,42.196,76.13,51.03,22,260.79,45.86,65.4
01/01/2022 01:15,-7.812,12.169,37.258,41.804,69.98,63.76,29.13,137.14,62.5,81.51
01/01/2022 01:30,-7.518,12.151,36.8,41.141,50.39,44.84,0.68,85.16,38.17,57.01
01/01/2022 01:45,-7.455,12.201,36.11,41.002,38.14,39.2,2.6,175.39,38.27,57.74
01/01/2022 02:00,-6.586,12.161,36.068,41.178,69.22,58.28,29.72,127.1,58.56,71.62
01/01/2022 02:15,-6.62,12.106,35.649,40.635,55.67,43.46,26.32,148,42.62,42.53
01/01/2022 02:30,-6.474,12.09,35.13,40.162,50.59,42.47,8.27,163.5,41.08,54.92
01/01/2022 02:45,-6.472,12.076,34.947,39.948,50.96,47.48,17.32,234.8,39.05,56.79
01/01/2022 03:00,-5.288,12.144,34.603,39.67,45.97,58.96,-4.25,138.77,65.68,76.46
01/01/2022 03:15,-5.347,12.12,34.304,39.56,48.68,42.99,0.8,87.77,42.66,54.2
01/01/2022 03:30,-5.089,12.116,33.859,39.547,56.47,43.27,15.12,108.89,49.5,60.84
01/01/2022 03:45,-5.028,12.132,33.854,39.479,67.68,50.5,-5,85.76,56.88,64.93
01/01/2022 04:00,-4.164,12.151,33.214,39.449,34.65,7.3,-4.99,43.05,8.36,1.61
01/01/2022 04:15,-4.112,12.121,33.278,39.279,40.82,30.64,-0.9,57.35,30.59,21.66
01/01/2022 04:30,-4.036,12.145,32.795,39.485,37.33,21.47,-5,133.88,29.16,20.84
01/01/2022 04:45,-4.047,12.205,32.298,39.14,53.08,35.41,-20.82,163.03,35.8,29.21
01/01/2022 05:00,-4.107,12.224,31.546,39.112,36.99,15.67,-29.04,44.7,16.87,5.85
01/01/2022 05:15,-4.383,12.318,30.972,38.926,45.34,24.15,-4.47,55.1,21.84,13.57
01/01/2022 05:30,-4.658,12.478,30.515,38.8,50.21,43.98,5.54,97.5,40.76,41.94
01/01/2022 05:45,-4.727,12.494,30.303,38.468,46.65,55.36,31.94,235.5,49.26,46.72
01/01/2022 06:00,-3.513,12.447,30.455,38.358,28.21,23.58,1.54,127.04,15.08,10.25
01/01/2022 06:15,-3.361,12.491,30.413,38.389,41.28,42.56,3.07,288.59,32.71,37.22
01/01/2022 06:30,-3.168,12.524,30.568,38.397,41.68,60.2,29.67,427.1,53.15,65.8
01/01/2022 06:45,-3.023,12.544,30.556,38.508,52.39,87.49,0,288.6,100.96,126.49
01/01/2022 07:00,-1.773,12.779,30.28,38.981,23.36,22.46,-5,104.54,27.8,49.21
01/01/2022 07:15,-2.016,12.807,29.822,38.929,46.54,38.95,-5,99.14,47.7,56.34
01/01/2022 07:30,-1.862,12.863,29.436,39.126,42.75,31.68,-5,99.14,32.91,17.91
01/01/2022 07:45,-1.871,12.819,29.19,39.311,65.68,60.19,4.4,111.86,67.34,52.91
01/01/2022 08:00,-1.439,13.157,28.56,39.99,7.28,17.49,-4.45,99.14,15.93,22.22
01/01/2022 08:15,-1.529,13.119,27.92,40.277,56.08,37.23,-18.2,99.14,37.49,39.38
01/01/2022 08:30,-1.487,13.13,27.695,40.339,50.01,40.51,0.5,238.5,32.69,34.39
01/01/2022 08:45,-1.308,13.226,28.036,40.614,71.3,57.98,17.3,104.85,50.39,28.55
01/01/2022 09:00,-1.151,13.277,28.513,41.77,46.2,46.62,4.11,243.62,32.25,29.18
01/01/2022 09:15,-0.841,13.263,28.885,42.324,64.98,46.74,10,113.89,50.47,60.73
01/01/2022 09:30,-0.808,13.344,28.9,42.836,73.68,61.23,0.1,99.14,65.39,71.99
01/01/2022 09:45,-0.548,13.349,29.049,43.114,79.53,71.33,34.08,107.72,71.58,75.04
